ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0002001900-25-000018	4	26	4641842	
0002001900-25-000017	7	1377	2673554593	N
0000947871-25-000577	0	9	300366379	
0000947871-25-000576	0	10	438633092	
0000947871-25-000575	0	9	574736550	
0000947871-25-000574	0	9	594984219	
0002001900-25-000016	1	2	301784	
0002001900-25-000015	6	1115	1631712590	N
0001681614-25-000003	0	20	150771847	N
0001398344-25-010841	0	70	253071159	
0001398344-25-010839	0	69	260025817	
0001172661-25-002432	0	34	202132921	
0002001900-25-000013	7	1344	2508171903	N
0002001900-25-000014	4	22	4438834	
0001376474-25-000502	0	550	115834939	
0001376474-25-000501	0	399	115433411	
0001085146-25-003414	0	1893	38513983560	N
0001172661-25-002430	0	62	171997730	
0002001900-25-000012	1	2	301784	
0002001900-25-000011	6	1068	1470094540	N
0002068236-25-000006	0	83	207595946	N
0002068236-25-000005	0	81	202556654	N
0001085146-25-003413	0	140	1302053679	
0002068236-25-000004	0	84	197499322	N
0002068236-25-000003	0	65	171432171	N
0002068236-25-000002	0	84	197499322	N
0001616628-25-000004	0	63	31634032	N
0002068236-25-000001	0	59	150149815	N
0001733472-25-000002	0	916	282965923	N
0001115418-25-000006	0	4223	111788906814	N
0002001900-25-000010	5	58	52163210	
0002001900-25-000009	6	958	1303838018	N
0001115418-25-000005	0	4182	106905259736	N
0001123292-25-000254	0	479	3914067028	
0001667731-25-000672	0	199	330703381	
0000764068-25-000025	4	6807	321868103530	N
0000764068-25-000022	4	6711	347317271245	N
0000764068-25-000021	4	8466	353968538893	N
0002001900-25-000008	5	26	12294575	
0002001900-25-000007	5	763	1064617471	N
0000950123-25-005910	0	120	549630092	N
0000950123-25-005907	2	4412	111609440675	N
0001628280-25-028150	1	68	4904464216	N
0000918504-25-000002	0	109	265820318	N
0001085146-25-003411	0	50	92883086	N
0000820478-25-000014	0	1878	25211014139	N
0001667731-25-000671	0	31	178946390	
